Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
12.40,3194.355,904.90,96.71429,78.08, -,8.693115
12.45,3197.348,904.80,93.90476,78.08, -,8.693115
12.50,3200.339,904.70,96.7619,78.08, -,8.693115
12.55,3203.333,904.60,96.7619,77.9, -,8.498639
12.60,3209.317,904.40,96.80952,77.9, -,8.498639
12.65,3209.317,904.40,91.14286,77.9, -,8.498639
12.70,3215.304,904.20,91.19048,77.9, -,8.498639
12.75,3224.286,903.90,94.09524,77.9, -,8.498639
12.80,3230.275,903.70,96.95238,77.9, -,8.498639
12.85,3230.275,903.70,91.28571,77.9, -,8.498639
12.90,3233.271,903.60,88.47619,77.9, -,8.498639
12.95,3233.271,903.60,85.61905,77.9, -,8.498639
13.00,3236.266,903.50,79.95238,77.9, -,8.498639
13.05,3239.261,903.40,74.28571,77.9, -,8.498639
13.10,3242.258,903.30,71.42857,77.9, -,8.498639
13.15,3245.253,903.20,71.42857,77.9, -,8.498639
13.20,3248.251,903.10,74.28571,77.9, -,8.498639
13.25,3251.247,903.00,74.28571,77.9, -,8.498639
13.30,3254.243,902.90,74.28571,77.9, -,8.498639
13.35,3257.241,902.80,71.42857,77.9, -,8.498639
13.40,3257.241,902.80,65.71429,77.9, -,8.498639
13.45,3257.241,902.80,60,77.9, -,8.498639
13.50,3260.238,902.70,60,78.08, -,8.673668
13.55,3266.234,902.50,62.85714,78.08, -,8.673668
13.60,3272.231,902.30,65.71429,78.08, -,8.673668
13.65,3275.229,902.20,62.85714,78.08, -,8.673668
13.70,3278.229,902.10,65.71429,78.08, -,8.673668
13.75,3278.229,902.10,60,78.08, -,8.673668
13.80,3275.229,902.20,48.57143,78.08, -,8.673668
13.85,3278.229,902.10,45.71429,78.08, -,8.673668
13.90,3278.229,902.10,45.71429,78.08, -,8.673668
13.95,3281.228,902.00,45.71429,78.08, -,8.673668
14.00,3281.228,902.00,45.71429,78.08, -,8.673668
14.05,3284.227,901.90,45.71429,78.08, -,8.673668
14.10,3287.228,901.80,45.71429,78.08, -,8.673668
14.15,3287.228,901.80,42.85714,78.08, -,8.673668
14.20,3290.228,901.70,42.85714,78.08, -,8.673668
14.25,3290.228,901.70,40,78.08, -,8.673668
14.30,3290.228,901.70,37.14286,78.08, -,8.673668
14.35,3290.228,901.70,34.28571,78.08, -,8.673668
14.40,3290.228,901.70,31.42857,78.08, -,8.673668
14.45,3293.229,901.60,34.28571,78.08, -,8.673668
14.50,3296.229,901.50,37.14286,78.08, -,8.673668
14.55,3299.229,901.40,37.14286,78.08, -,8.693115
14.60,3302.232,901.30,34.28571,78.08, -,8.693115
14.65,3302.232,901.30,28.57143,78.08, -,8.693115
14.70,3302.232,901.30,25.71428,78.08, -,8.693115
14.75,3299.229,901.40,20,78.08, -,8.693115
14.80,3299.229,901.40,20,78.08, -,8.693115
14.85,3299.229,901.40,22.85714,78.08, -,8.693115
14.90,3299.229,901.40,20,78.08, -,8.693115
14.95,3299.229,901.40,20,78.08, Drogue,8.693115
15.00,3024.262,910.60,-244.7143,78.08, -,8.693115
15.05,3266.234,902.50,-14.28571,78.08, -,8.693115
15.10,3305.232,901.20,20,78.08, -,8.693115
15.15,3305.232,901.20,17.14286,78.08, -,8.693115
15.20,3305.232,901.20,17.14286,78.08, -,8.693115
15.25,3308.235,901.10,17.14286,78.08, -,8.693115
15.30,3305.232,901.20,14.28571,78.08, -,8.693115
15.35,3302.232,901.30,11.42857,78.08, -,8.693115
15.40,3299.229,901.40,8.571428,78.08, -,8.693115
15.45,3299.229,901.40,8.571428,78.08, -,8.693115
15.50,3299.229,901.40,5.714286,78.08, -,8.673668
15.55,3302.232,901.30,5.714286,78.08, -,8.673668
15.60,3308.235,901.10,8.571428,78.08, -,8.673668
15.65,3311.237,901.00,8.571428,78.08, -,8.673668
15.70,3314.238,900.90,11.42857,78.08, -,8.673668
15.75,3308.235,901.10,5.714286,78.08, -,8.673668
15.80,3305.232,901.20,5.714286,78.08, -,8.673668
15.85,3299.229,901.40,0,78.08, -,8.673668
15.90,3293.229,901.60,-5.714286,78.08, -,8.673668
15.95,3293.229,901.60,-5.714286,78.08, -,8.673668
16.00,3293.229,901.60,-5.714286,78.08, -,8.673668
16.05,3293.229,901.60,256.1429,78.08, -,8.673668
16.10,3296.229,901.50,28.57143,78.08, -,8.673668
16.15,3296.229,901.50,-8.571428,78.08, -,8.673668
16.20,3296.229,901.50,-8.571428,78.08, -,8.673668
16.25,3296.229,901.50,-8.571428,78.08, -,8.673668
16.30,3293.229,901.60,-14.28571,78.08, -,8.673668
16.35,3290.228,901.70,-14.28571,78.08, -,8.673668
16.40,3284.227,901.90,-17.14286,78.08, -,8.673668
16.45,3275.229,902.20,-22.85714,78.08, -,8.673668
16.50,3266.234,902.50,-31.42857,78.08, -,8.673668
16.55,3263.237,902.60,-34.28571,78.08, -,8.673668
16.60,3263.237,902.60,-37.14286,78.08, -,8.673668
16.65,3266.234,902.50,-40,78.08, -,8.673668
16.70,3269.232,902.40,-40,78.08, -,8.673668
16.75,3266.234,902.50,-45.71429,78.08, -,8.673668
16.80,3263.237,902.60,-42.85714,78.08, -,8.673668
16.85,3257.241,902.80,-45.71429,78.08, -,8.673668
16.90,3251.247,903.00,-45.71429,78.08, -,8.673668
16.95,3251.247,903.00,-40,78.08, -,8.673668
17.00,3248.251,903.10,-42.85714,78.08, -,8.673668
17.05,3248.251,903.10,-42.85714,78.08, -,8.673668
17.10,3245.253,903.20,-45.71429,78.08, -,8.673668
17.15,3242.258,903.30,-51.42857,78.08, -,8.673668
17.20,3239.261,903.40,-54.28571,78.08, -,8.673668
17.25,3239.261,903.40,-54.28571,78.08, -,8.673668
17.30,3236.266,903.50,-57.14286,78.08, -,8.673668
17.35,3236.266,903.50,-54.28571,78.08, -,8.673668
17.40,3233.271,903.60,-54.28571,78.08, -,8.673668
17.45,3230.275,903.70,-51.42857,78.08, -,8.673668
17.50,3227.281,903.80,-45.71429,78.08, -,8.673668
17.55,3227.281,903.80,-37.14286,78.08, -,8.673668
17.60,3224.286,903.90,-37.14286,78.08, -,8.673668
17.65,3218.299,904.10,-42.85714,78.08, -,8.673668
17.70,3215.304,904.20,-48.57143,78.08, -,8.673668
17.75,3212.311,904.30,-54.28571,78.08, -,8.673668
17.80,3206.325,904.50,-57.14286,78.08, -,8.673668
17.85,3200.339,904.70,-60,78.08, -,8.673668
17.90,3194.355,904.90,-60,78.08, -,8.673668
17.95,3188.374,905.10,-60,78.08, -,8.673668
18.00,3182.391,905.30,-65.71429,78.08, -,8.673668
18.05,3176.41,905.50,-68.57143,78.08, -,8.673668
18.10,3173.421,905.60,-71.42857,78.08, -,8.673668
18.15,3167.442,905.80,-74.28571,78.08, -,8.673668
18.20,3167.442,905.80,-71.42857,78.08, -,8.673668
18.25,3164.451,905.90,-71.42857,78.08, -,8.673668
18.30,3161.463,906.00,-74.28571,78.08, -,8.673668
18.35,3158.475,906.10,-74.28571,78.08, -,8.673668
18.40,3152.498,906.30,-80,78.08, -,8.673668
18.45,3149.51,906.40,-80,78.08, -,8.673668
18.50,3143.536,906.60,-82.80952,78.08, -,8.673668
18.55,3140.548,906.70,-82.80952,78.08, -,8.693115
18.60,3134.574,906.90,-88.47619,78.08, -,8.693115
18.65,3131.589,907.00,-88.47619,78.08, -,8.693115
18.70,3128.604,907.10,-85.61905,78.08, -,8.693115
18.75,3125.617,907.20,-85.61905,78.08, -,8.693115
18.80,3119.646,907.40,-88.42857,78.08, -,8.693115
18.85,3119.646,907.40,-82.71429,78.08, -,8.693115
18.90,3119.646,907.40,-77,78.08, -,8.693115
18.95,3119.646,907.40,-71.28571,78.08, -,8.693115
19.00,3116.662,907.50,-68.42857,78.08, -,8.693115
19.05,3113.678,907.60,-65.57143,78.08, -,8.693115
19.10,3107.709,907.80,-65.52381,78.08, -,8.693115
19.15,3104.724,907.90,-65.52381,78.08, -,8.693115
19.20,3092.792,908.30,-71.19048,78.08, -,8.693115
19.25,3086.827,908.50,-76.85714,78.08, -,8.693115
19.30,3083.846,908.60,-76.85714,78.08, -,8.693115
19.35,3077.882,908.80,-79.66666,78.08, -,8.693115
19.40,3080.863,908.70,-73.95238,78.08, -,8.693115
19.45,3083.846,908.60,-65.38095,78.08, -,8.693115
19.50,3077.882,908.80,-68.19048,77.9, -,8.673668
19.55,3065.958,909.20,-73.85714,77.9, -,8.673668
19.60,3057.019,909.50,-79.52381,77.9, -,8.673668
19.65,3054.041,909.60,-76.71429,77.9, -,8.673668
19.70,3048.083,909.80,-79.52381,77.9, -,8.673668
19.75,3042.125,910.00,-82.33334,77.9, -,8.673668
19.80,3036.169,910.20,-85.14286,77.9, -,8.673668
19.85,3033.193,910.30,-82.33334,77.9, -,8.673668
19.90,3027.238,910.50,-88,77.9, -,8.673668
19.95,3024.262,910.60,-90.85714,77.9, -,8.673668
20.00,3027.238,910.50,-88,77.9, -,8.673668
20.05,3024.262,910.60,-88,77.9, -,8.673668
20.10,3009.383,911.10,-99.33334,77.9, -,8.673668
20.15,3006.406,911.20,-96.52381,77.9, -,8.673668
20.20,3006.406,911.20,-93.66666,77.9, -,8.673668
20.25,3012.357,911.00,-76.61905,77.9, -,8.673668
20.30,3009.383,911.10,-73.7619,77.9, -,8.673668
20.35,2997.483,911.50,-82.2381,77.9, -,8.673668
20.40,2988.562,911.80,-85.04762,77.9, -,8.673668
20.45,2979.644,912.10,-96.38095,77.9, -,8.673668
20.50,2973.699,912.30,-104.9048,77.9, -,8.673668
20.55,2967.755,912.50,-104.9048,78.08, -,8.693115
20.60,2961.812,912.70,-99.2381,78.08, -,8.693115
20.65,2958.842,912.80,-93.52381,78.08, -,8.693115
20.70,2952.901,913.00,-96.33334,78.08, -,8.693115
20.75,2946.96,913.20,-96.33334,78.08, -,8.693115
20.80,2943.991,913.30,-93.47619,78.08, -,8.693115
20.85,2946.96,913.20,-85,78.08, -,8.693115
20.90,2952.901,913.00,-76.47619,78.08, -,8.693115
