12-31-2023 10:50:03,"<LORA>+RCV=7,7,Alt:0.0,-30,10\r</LORA>"
datetime,serial msg
12-31-2023 10:50:10,"<LORA>+RCV=7,8,GPS FAIL,-30,10\r</LORA>"
datetime,serial msg
12-31-2023 10:50:16,"<LORA>+RCV=7,7,Alt:0.0,-29,10\r</LORA>"
datetime,serial msg
12-31-2023 10:50:27,"<LORA>+RCV=7,7,Alt:0.0,-29,11\r</LORA>"
datetime,serial msg
12-31-2023 10:50:38,"<LORA>+RCV=7,7,Alt:0.0,-30,11\r</LORA>"
datetime,serial msg
12-31-2023 10:50:50,"<LORA>+RCV=7,7,Alt:0.0,-31,10\r</LORA>"
datetime,serial msg
12-31-2023 10:50:58,"<LORA>+RCV=7,7,Alt:0.0,-28,10\r</LORA>"
datetime,serial msg
12-31-2023 10:51:19,"<LORA>+RCV=7,7,Alt:0.0,-34,10\r</LORA>"
datetime,serial msg
12-31-2023 10:51:30,"<LORA>+RCV=7,7,Alt:0.0,-35,10\r</LORA>"
datetime,serial msg
12-31-2023 11:04:01,"<LORA>+RCV=7,8,GPS FAIL,-26,11\r</LORA>"
datetime,serial msg
12-31-2023 11:04:05,"<LORA>+RCV=7,7,Alt:0.0,-26,11\r</LORA>"
datetime,serial msg
12-31-2023 11:04:08,"<LORA>+RCV=7,8,GPS FAIL,-22,11\r</LORA>"
datetime,serial msg
12-31-2023 11:04:25,"<LORA>+RCV=7,7,Alt:0.0,-28,11\r</LORA>"
datetime,serial msg
12-31-2023 11:05:15,"<LORA>+RCV=7,8,GPS FAIL,-23,10\r</LORA>"
datetime,serial msg
12-31-2023 11:06:05,"<LORA>+RCV=7,7,Alz:0.0,-25,10\r</LORA>"
datetime,serial msg
12-31-2023 11:06:17,"<LORA>+RCV=7,7,Alt:0.0,-21,10\r</LORA>"
datetime,serial msg
12-31-2023 11:06:51,"<LORA>+RCV=7,7,Alt:0.0,-22,10\r</LORA>"
datetime,serial msg
12-31-2023 11:07:36,"<LORA>+RCV=7,7,Alt:0.0,-23,11\r</LORA>"
datetime,serial msg
12-31-2023 11:07:48,"<LORA>+RCV=7,7,Alt:0.0,-39,10\r</LORA>"
datetime,serial msg
12-31-2023 11:07:59,"<LORA>+RCV=7,7,Alt:0.0,-40,10\r</LORA>"
datetime,serial msg
12-31-2023 11:08:10,"<LORA>+RCV=7,7,Alt:0.0,-40,10\r</LORA>"
datetime,serial msg
12-31-2023 11:08:13,"<LORA>+RCV=7,8,GPS FAIL,-39,11\r</LORA>"
datetime,serial msg
12-31-2023 11:08:33,"<LORA>+RCV=7,7,Alt:0.0,-20,11\r</LORA>"
datetime,serial msg
12-31-2023 11:08:45,"<LORA>+RCV=7,7,Alt:0.0,-22,10\r</LORA>"
datetime,serial msg
12-31-2023 11:08:57,"<LORA>+RCV=7,7,Alt:0.0,-23,10\r</LORA>"
datetime,serial msg
12-31-2023 11:09:08,"<LORA>+RCV=7,7,Alt:0.0,-21,10\r</LORA>"
datetime,serial msg
12-31-2023 11:09:15,"<LORA>+RCV=7,8,GPS F@IL,-21,11\r</LORA>"
datetime,serial msg
12-31-2023 11:09:20,"<LORA>+RCV=7,7,Alt:0.0,-22,10\r</LORA>"
datetime,serial msg
12-31-2023 11:09:32,"<LORA>+RCV=7,7,Alt:0.0,-18,11\r\x0b</LORA>"
datetime,serial msg
12-31-2023 11:09:40,"<LORA>+RCV=7,7,Alt:0.0,-17,10\r</LORA>"
datetime,serial msg
12-31-2023 11:09:43,"<LORA>+RCV=7,8,GPS FAIL,-15,10\r</LORA>"
datetime,serial msg
12-31-2023 11:10:00,"<LORA>+RCV=7,7,Alt:0.0,-16,10\r\x0b</LORA>"
datetime,serial msg
12-31-2023 11:10:11,"<LORA>+RCV=7,7,Alt:0.0,-16,10\r</LORA>"
datetime,serial msg
12-31-2023 11:10:14,"<LORA>+RCV=7,8,GPS FAIL,-14,11\r</LORA>"
datetime,serial msg
12-31-2023 11:10:34,"<LORA>+RCV=7,7,Alt:0.0,-20,11\r</LORA>"
datetime,serial msg
12-31-2023 11:10:54,"<LORA>+RCV=7,7,Alt:0.0,-21,10\r</LORA>"
datetime,serial msg
12-31-2023 11:11:22,"<LORA>+RCV=7,7,Alt:0.0,-20,11\r</LORA>"
datetime,serial msg
12-31-2023 11:11:34,"<LORA>+RCV=7,7,Alt:0.0,-21,10\r</LORA>"
datetime,serial msg
12-31-2023 11:11:43,"<LORA>+RCV=7,7,Alt;0.0,-23,11\r</LORA>"
datetime,serial msg
12-31-2023 11:11:53,"<LORA>+RCV=7,7,Alt:0.0,-23,11\r</LORA>"
datetime,serial msg
12-31-2023 11:12:03,"<LORA>+RCV=7,7,Alj:0.0,-20,11\r</LORA>"
datetime,serial msg
12-31-2023 11:12:23,"<LORA>+RCV=7,7,Alt:0.0,-21,10\r</LORA>"
datetime,serial msg
12-31-2023 11:12:30,"<LORA>+RCV=7,8,GPS FAIL,-27,10\r</LORA>"
datetime,serial msg
12-31-2023 11:12:33,"<LORA>+RCV=7,7,Alt:0.0,-23,10\r</LORA>"
datetime,serial msg
12-31-2023 11:12:44,"<LORA>+RCV<7,7,Alt:0.0,-19,10\r</LORA>"
datetime,serial msg
12-31-2023 11:12:53,"<LORA>+RCV=7,7,Alt:0.0,-19,10\r</LORA>"
datetime,serial msg
12-31-2023 11:13:04,"<LORA>+RCS=7,7,Alt:0.0,-19,10\r</LORA>"
datetime,serial msg
12-31-2023 11:13:13,"<LORA>+RCV=7,7,Alt:0.0,-17,11\r</LORA>"
datetime,serial msg
12-31-2023 11:13:33,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:13:44,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:13:53,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:14:04,"<LORA>+RCV=7,7,Alt:0.0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:14:24,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:14:27,"<LORA>+RCV=7,8,GPS FAIN,-16,11\r</LORA>"
datetime,serial msg
12-31-2023 11:14:43,"<LORA>+RCV=7,8,GPS FAIL,-17,10\r</LORA>"
datetime,serial msg
12-31-2023 11:14:48,"<LORA>+RCV=7,7,Alt:0.0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:14:58,"<LORA>+RCV<7,7,Alt:0.0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:15:19,"<LORA>+RCV=7,7,Alt:0.0.-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:15:29,"<LORA>+RCV=7,7,Alt:0.0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:15:41,"<LORA>+RCV=7,7,Alt:0.0,-18,00\r</LORA>"
datetime,serial msg
12-31-2023 11:16:13,"<LORA>+RCV=7,7,Alt:0.0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:16:22,"<LORA>+SCV=7,7,Alt:0.0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:16:33,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+SCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+RCV=7,8,GPS FAIL,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+RCV=7,7,Alt:0.0,-18,00\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+RCV=7,7,Alt:0.0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+RCV=7,7,A\x9a7:0.0,-07,11\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+RCV=7,7,Alt:0.0,-19,10\r</LORA>"
datetime,serial msg
12-31-2023 11:18:47,"<LORA>+RCV=7,7,Alt:0.0,-17,11\r</LORA>"
datetime,serial msg
12-31-2023 11:18:48,"<LORA>+RCV=7,7,Alt:0.0,-19,10\r</LORA>"
datetime,serial msg
12-31-2023 11:18:59,"<LORA>+RCV=7,7,@lt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:19:06,"<LORA>+RCV=7,8,GPS FAIL,-16,10\r</LORA>"
datetime,serial msg
12-31-2023 11:19:11,"<LORA>+RCV=7,7,Alt:0/0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:19:18,"<LORA>+RCV=7,8,GPS FAIL,-16,11\r</LORA>"
datetime,serial msg
12-31-2023 11:19:23,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:19:56,"<LORA>+RCV=7,7,Alt:0.0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 11:20:16,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:20:27,"<LORA>+RCV=7,7,Alt:0/0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 11:20:38,"<LORA>+RCV=7,7,Alt:0.0,-17,10\r</LORA>"
datetime,serial msg
12-31-2023 11:20:47,"<LORA>+RCV=7,7,Alt:0.0,-22,10\r</LORA>"
datetime,serial msg
12-31-2023 11:21:11,"<LORA>+RCV=7,7,Alt:0.0,-54,10\r</LORA>"
datetime,serial msg
12-31-2023 11:21:22,"<LORA>+RCV=7,7,Alt:0.0,-69,11\r</LORA>"
datetime,serial msg
12-31-2023 11:21:31,"<LORA>+RCV=7,7,Alt:0.0,-74,10\r</LORA>"
datetime,serial msg
