12-23-2023 11:05:10,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-76,11\r</LORA>"
datetime,serial msg
12-23-2023 11:05:39,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-71,11\r</LORA>"
datetime,serial msg
12-23-2023 11:05:46,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-71,11\r</LORA>"
datetime,serial msg
12-23-2023 11:05:49,<LORA>+ERR=12\r</LORA>
datetime,serial msg
12-23-2023 11:05:56,"<LORA>+RCV=7,8,GXS FAIL,-77,01\r</LORA>"
datetime,serial msg
12-23-2023 11:06:03,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,230223,,,N,-74,11\r</LORA>"
datetime,serial msg
12-23-2023 11:06:10,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-7<,11\r</LORA>"
datetime,serial msg
12-23-2023 11:06:17,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-79,10\r</LORA>"
datetime,serial msg
12-23-2023 11:06:24,<LORA>+ERR=12\r</LORA>
datetime,serial msg
12-23-2023 11:06:44,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,230223,,,N,-72,10\r</LORA>"
datetime,serial msg
12-23-2023 11:07:00,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-70,11\r</LORA>"
datetime,serial msg
12-23-2023 11:07:20,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-71,11\r</LORA>"
datetime,serial msg
12-23-2023 11:12:45,"<LORA>+RCV=7,8,GPS FAIL,-16,11\r</LORA>"
datetime,serial msg
12-23-2023 11:12:53,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,230223,,,N,-17,11\r</LORA>"
datetime,serial msg
12-23-2023 11:12:56,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-16,10\r</LORA>"
datetime,serial msg
12-23-2023 11:13:03,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0/00,231223,,,N,-16,11\r</LORA>"
datetime,serial msg
12-23-2023 11:13:10,"<LORA>+RCV=7,31,GPS; V,,,,,0.00,0.00,231223,,,N,-19,11\r</LORA>"
datetime,serial msg
12-23-2023 11:13:18,<LORA>+EQR=12\r</LORA>
datetime,serial msg
12-23-2023 11:13:34,"<LORA>+RCV=7,8,GPS FAIL,-18,10\r</LORA>"
datetime,serial msg
12-23-2023 11:13:37,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-17,10\r</LORA>"
datetime,serial msg
12-23-2023 11:13:49,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-18,10\r</LORA>"
datetime,serial msg
12-23-2023 11:14:22,"<LORA>+RCV=7,30,GPS: V,,,,,0.00,0.00,231223,,,N,-16,11\r</LORA>"
datetime,serial msg
12-23-2023 11:14:33,"<LORA>+RCV=7,8,GPS FAIL,-13,11\r</LORA>"
datetime,serial msg
12-23-2023 11:14:37,"<LORA>+RCV=7,31,GPS; V,,,,,0.00,0.00,231223,,,N,-13,11\r</LORA>"
datetime,serial msg
12-23-2023 11:14:44,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-14,11\r</LORA>"
datetime,serial msg
12-23-2023 11:14:51,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-16,11\r</LORA>"
datetime,serial msg
12-23-2023 11:14:58,<LORA>+ERR=12\r</LORA>
datetime,serial msg
12-23-2023 11:15:45,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-17,11\r</LORA>"
datetime,serial msg
12-23-2023 11:15:45,"<LORA>+RCV=7,8,GPS F@IL,-15,10\r</LORA>"
datetime,serial msg
12-23-2023 11:47:07,"<LORA>+RCV=7,8,GPS FAIL,-30,11\r</LORA>"
datetime,serial msg
12-23-2023 11:49:13,"<LORA>+RCV=7,8,GPS FAIL,-25,11\r</LORA>"
datetime,serial msg
12-23-2023 11:49:29,"<LORA>+RCV=7,8,GPS FAIL,-28,11\r</LORA>"
datetime,serial msg
12-23-2023 11:49:45,"<LORA>+RCV=7,8,GPS FAIL,-31,10\r</LORA>"
datetime,serial msg
12-23-2023 11:50:00,"<LORA>+RCV=7,7,Alt:0.0,-30,10\r</LORA>"
datetime,serial msg
12-23-2023 11:56:51,"<LORA>+RCV=7,7,Alt:0.0,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 11:57:00,"<LORA>+RCV=7,7,Alt:0.0,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 11:57:24,"<LORA>+RCV=7,7,Alt:0.0,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 11:57:32,"<LORA>+RCV=7,8,GPS FAIL,-30,11\r</LORA>"
datetime,serial msg
12-23-2023 11:57:44,"<LORA>+RCV=7,7,Alt:0.0,-27,11\r</LORA>"
datetime,serial msg
12-23-2023 11:57:55,"<LORA>+RCV=7,7,Alt:0.0,-28,11\r\x0b</LORA>"
datetime,serial msg
12-23-2023 11:58:06,"<LORA>+RCV=7,7,Alt:0.0,-36,10\r</LORA>"
datetime,serial msg
12-23-2023 11:58:18,"<LORA>+RCV=7,7,Alt:0.0,-40,10\r</LORA>"
datetime,serial msg
12-23-2023 11:58:39,"<LORA>+RCV=7,7,Alt:0.0,-39,10\r</LORA>"
datetime,serial msg
12-23-2023 11:58:49,"<LORA>+RCV=7,7,Alt:0.0,-32,10\r</LORA>"
datetime,serial msg
12-23-2023 11:58:59,"<LORA>+RCV=7,7,Alt:0.0,-31,10\r</LORA>"
datetime,serial msg
12-23-2023 11:59:10,"<LORA>+RCV=7,7,Alt:0.0,-30,11\r</LORA>"
datetime,serial msg
12-23-2023 11:59:31,"<LORA>+RCV=7,7,Alt:0.0,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 11:59:41,"<LORA>+RCV=7,7,Alt:0.0,-27,11\r</LORA>"
datetime,serial msg
12-23-2023 11:59:51,"<LORA>+RCV=7,7,Alt:0.0,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 12:00:11,"<LORA>+RCV=7,7,Alt:0.0,-25,10\r</LORA>"
datetime,serial msg
12-23-2023 12:00:14,"<LORA>+RCV=7,8,GPS FAIL,-25,11\r</LORA>"
datetime,serial msg
12-23-2023 12:00:33,"<LORA>+RCV=7,7,Alt:0.0,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 12:00:43,"<LORA>+RCV=7,7,Alt:0.0,-26,11\r</LORA>"
datetime,serial msg
